Number of board positions: 2967680
Batch Size: 128
Epoch: 1
1999it [08:07,  4.08it/s] Loss:  7537.170298099518
3999it [16:15,  4.07it/s] Loss:  6561.74510383606
5999it [24:22,  4.16it/s] Loss:  6216.376173496246
7999it [32:27,  4.04it/s] Loss:  5965.241004943848
9999it [40:33,  4.20it/s] Loss:  5654.667450666428
11999it [48:36,  4.14it/s] Loss:  5494.2301251888275
13999it [56:38,  4.06it/s] Loss:  5374.975584983826
15999it [1:04:41,  4.17it/s] Loss:  5271.009171009064
17999it [1:12:43,  4.13it/s] Loss:  5200.200568199158
19999it [1:20:47,  4.14it/s] Loss:  5164.408960819244
21999it [1:28:48,  4.13it/s] Loss:  5149.989151239395
23185it [1:33:33,  4.13it/s]
Epoch: 2
1999it [07:46,  4.21it/s] Loss:  5082.685950994492
3999it [15:31,  4.35it/s] Loss:  5089.750807285309
5999it [23:17,  4.35it/s] Loss:  5074.361455202103
7999it [31:06,  4.33it/s] Loss:  5062.389272689819
9999it [38:51,  4.25it/s] Loss:  5061.171377182007
11999it [46:33,  4.47it/s] Loss:  5040.784091711044
13999it [54:56,  4.05it/s] Loss:  5040.8870639801025
15999it [1:03:12,  4.03it/s] Loss:  5029.365370750427
17999it [1:11:36,  3.91it/s] Loss:  5032.758536577225
19999it [1:20:03,  3.63it/s] Loss:  5019.354471921921
21999it [1:28:30,  3.94it/s] Loss:  5036.654278755188
23185it [1:33:30,  4.13it/s]

