Loading data...
Number of board positions: 23741440
Epoch: 1
1999it [02:33, 13.95it/s] Loss:  4784.45102250576
3998it [05:05, 13.98it/s] Loss:  3984.204493880272
5997it [07:38,  9.41it/s] Loss:  3810.7371776103973
7994it [10:11,  9.80it/s] Loss:  3688.750380754471
9997it [12:44, 10.67it/s] Loss:  3622.7177716493607
11997it [15:18, 13.21it/s] Loss:  3565.326009631157
13999it [17:52, 15.48it/s] Loss:  3519.9483917951584
15997it [20:25, 11.80it/s] Loss:  3495.646540403366
17998it [22:59, 10.55it/s] Loss:  3463.312317252159
19998it [25:33, 12.58it/s] Loss:  3432.632788181305
21998it [28:07, 10.90it/s] Loss:  3415.5278725624084
23998it [30:40, 13.69it/s] Loss:  3405.748303771019
25994it [33:14, 10.95it/s] Loss:  3385.8025864362717
27999it [35:48, 11.81it/s] Loss:  3359.786059498787
29995it [38:22, 11.45it/s] Loss:  3351.718070745468
31997it [40:55, 10.76it/s] Loss:  3342.32234787941
33999it [43:29, 12.98it/s] Loss:  3345.390486717224
35995it [46:03, 11.18it/s] Loss:  3320.6897033452988
37995it [48:37,  9.84it/s] Loss:  3316.3598918914795
39999it [51:11, 12.29it/s] Loss:  3305.790603518486
41998it [53:45, 12.72it/s] Loss:  3303.9814171791077
43999it [56:20, 12.77it/s] Loss:  3288.8283240795135
45997it [58:54, 10.74it/s] Loss:  3291.082641482353
47996it [1:01:28, 13.30it/s] Loss:  3278.0190945863724
49997it [1:04:01, 14.34it/s] Loss:  3278.673644900322
51998it [1:06:35, 17.48it/s] Loss:  3271.157299518585
53997it [1:09:08, 12.81it/s] Loss:  3266.2411538362503
55997it [1:11:41, 10.01it/s] Loss:  3257.4746284484863
57997it [1:14:14, 12.23it/s] Loss:  3251.6077964305878
59998it [1:16:47, 11.64it/s] Loss:  3243.8169310092926
61998it [1:19:21, 11.66it/s] Loss:  3238.360346674919
63998it [1:21:54, 13.62it/s] Loss:  3227.619676709175
65999it [1:24:28, 13.26it/s] Loss:  3228.4471074342728
67996it [1:27:01, 11.89it/s] Loss:  3237.6879420280457
69999it [1:29:34, 12.76it/s] Loss:  3219.082128405571
71998it [1:32:08,  9.51it/s] Loss:  3218.0464137792587
73998it [1:34:41, 15.86it/s] Loss:  3215.7215152978897
75999it [1:37:14, 10.99it/s] Loss:  3215.8998209238052
77998it [1:39:47, 10.39it/s] Loss:  3206.3231093883514
79999it [1:42:20, 12.15it/s] Loss:  3201.0127123594284
81999it [1:44:53, 10.97it/s] Loss:  3208.7118698358536
83996it [1:47:26, 12.91it/s] Loss:  3195.98296046257
85996it [1:49:59, 14.16it/s] Loss:  3183.6349061727524
87999it [1:52:33, 12.39it/s] Loss:  3190.3744688034058
89998it [1:55:07, 12.70it/s] Loss:  3197.363842368126
91998it [1:57:41, 10.48it/s] Loss:  3189.0513421297073
93998it [2:00:16, 13.62it/s] Loss:  3184.5036342144012
95998it [2:02:50, 13.59it/s] Loss:  3181.167659878731
97998it [2:05:23, 13.85it/s] Loss:  3183.7510336637497
99995it [2:07:57, 10.23it/s] Loss:  3171.407728791237
101999it [2:10:31, 10.85it/s] Loss:  3178.9449591636658
103998it [2:13:04, 12.91it/s] Loss:  3173.6103644371033
105997it [2:15:39, 12.60it/s] Loss:  3177.536389231682
107999it [2:18:13, 12.04it/s] Loss:  3167.0777745246887
109998it [2:20:47, 13.06it/s] Loss:  3168.2154281139374
111998it [2:23:20, 12.98it/s] Loss:  3162.812131166458
113999it [2:25:55, 13.97it/s] Loss:  3158.325354218483
115999it [2:28:29, 12.81it/s] Loss:  3153.0057532787323
117997it [2:31:03, 11.28it/s] Loss:  3160.895968079567
119994it [2:33:37, 11.26it/s] Loss:  3162.8616272211075
121999it [2:36:12, 12.86it/s] Loss:  3150.8152009248734
123999it [2:38:47, 10.74it/s] Loss:  3154.805408835411
125999it [2:41:21, 12.42it/s] Loss:  3151.5065908432007
127994it [2:43:55, 12.07it/s] Loss:  3157.7829399108887
129996it [2:46:30, 10.28it/s] Loss:  3160.342157959938
131998it [2:49:05, 13.88it/s] Loss:  3147.417263031006
133994it [2:51:40,  8.47it/s] Loss:  3144.907543182373
135995it [2:54:14, 11.83it/s] Loss:  3134.0066324472427
137999it [2:56:49, 12.86it/s] Loss:  3143.082215666771
139995it [2:59:24, 11.66it/s] Loss:  3145.4203808307648
141995it [3:02:02,  9.60it/s] Loss:  3154.7882084846497
143998it [3:04:41, 11.88it/s] Loss:  3148.3587580919266
145999it [3:07:19, 12.80it/s] Loss:  3145.755643606186
147995it [3:09:56, 12.53it/s] Loss:  3134.153890609741
149994it [3:12:35, 12.56it/s] Loss:  3131.3613973855972
151998it [3:15:11, 13.05it/s] Loss:  3125.4929580688477
153995it [3:17:47, 13.06it/s] Loss:  3128.150689959526
155996it [3:20:23,  8.85it/s] Loss:  3134.978637576103
157998it [3:23:00, 11.25it/s] Loss:  3129.4444600343704
159997it [3:25:33, 13.01it/s] Loss:  3123.7058565616608
161998it [3:28:05,  8.39it/s] Loss:  3129.4230028390884
163996it [3:30:38, 12.30it/s] Loss:  3155.998577475548
165998it [3:33:10, 11.42it/s] Loss:  3132.0809819698334
167996it [3:35:42, 11.00it/s] Loss:  3118.772074818611
169997it [3:38:15, 12.55it/s] Loss:  3128.7745504379272
171999it [3:40:47, 11.19it/s] Loss:  3122.485776901245
173997it [3:43:19, 12.65it/s] Loss:  3117.3696303367615
175996it [3:45:52, 10.06it/s] Loss:  3126.2788368463516
177995it [3:48:24, 10.71it/s] Loss:  3119.8395845890045
179998it [3:50:57, 13.94it/s] Loss:  3117.105510830879
181997it [3:53:29, 12.77it/s] Loss:  3107.9162406921387
183998it [3:56:01, 11.99it/s] Loss:  3116.6110986471176
185480it [3:57:55, 12.99it/s]

