Boke Policy v0.3

Number of board positions: 2967680
Batch size: 128
Epoch: 1
Transform: rot90 
1999it [02:37, 12.42it/s] Loss:  7369.970548868179
3997it [05:12, 10.97it/s] Loss:  6108.559445381165
5997it [07:49, 13.27it/s] Loss:  5459.981218099594
7998it [10:25, 10.68it/s] Loss:  5137.168212175369
9996it [13:01, 10.55it/s] Loss:  4860.921490430832
11999it [15:36, 12.75it/s] Loss:  4688.07908141613
13997it [18:09, 13.21it/s] Loss:  4587.338085055351
15997it [20:42, 13.21it/s] Loss:  4519.146810173988
17999it [23:17, 13.35it/s] Loss:  4465.461609959602
19998it [25:54, 12.22it/s] Loss:  4424.597515106201
21997it [28:31, 12.19it/s] Loss:  4375.795659303665
23185it [30:04, 12.85it/s]
Epoch: 2
Transform: rot90 
1997it [02:36, 10.92it/s] Loss:  4303.009732604027
3998it [05:09, 14.59it/s] Loss:  4285.144268274307
5997it [07:45, 15.16it/s] Loss:  4261.810079693794
7998it [10:21, 11.07it/s] Loss:  4250.711601018906
9999it [12:59, 11.86it/s] Loss:  4227.820977807045
11995it [15:37, 10.98it/s] Loss:  4214.881423711777
13999it [18:15, 16.06it/s] Loss:  4207.2733697891235
15995it [20:52, 12.38it/s] Loss:  4183.550478696823
17998it [23:30, 13.20it/s] Loss:  4189.935843586922
19998it [26:04, 13.34it/s] Loss:  4175.042732954025
21999it [28:41, 13.95it/s] Loss:  4170.515494465828
23185it [30:13, 12.78it/s]
Epoch: 3
Transform: None
1996it [01:59, 17.48it/s] Loss:  4222.9049562215805
3999it [03:58, 18.51it/s] Loss:  4195.073093295097
5996it [05:57, 17.61it/s] Loss:  4181.693538069725
7999it [07:57, 16.70it/s] Loss:  4179.347481131554
9998it [10:00, 13.26it/s] Loss:  4150.854294300079
11999it [12:07, 15.61it/s] Loss:  4140.854574918747
13999it [14:13, 16.47it/s] Loss:  4138.7152144908905
15999it [16:18, 13.46it/s] Loss:  4118.251469373703
17998it [18:22, 16.88it/s] Loss:  4118.637932419777
19999it [20:27, 15.10it/s] Loss:  4113.382148861885
21996it [22:31, 16.15it/s] Loss:  4112.466965675354
23185it [23:45, 16.26it/s]

