
Number of board positions: 2967680
Epoch: 1
1998it [02:18, 13.31it/s] Loss:  7955.091987609863
3997it [04:36, 12.04it/s] Loss:  7521.899798631668
5998it [06:55, 13.48it/s] Loss:  7304.876652479172
7996it [09:13, 11.86it/s] Loss:  7118.723688840866
9999it [11:32, 15.38it/s] Loss:  6894.049953699112
11998it [13:50, 15.14it/s] Loss:  6634.52888584137
13999it [16:09, 15.27it/s] Loss:  6423.632560253143
15998it [18:27, 15.93it/s] Loss:  6268.257621526718
17997it [20:46, 12.53it/s] Loss:  6148.2176513671875
19998it [23:04, 13.54it/s] Loss:  6054.7980625629425
21999it [25:23, 15.72it/s] Loss:  5950.8860194683075
23185it [26:45, 14.44it/s]

